work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,MI,FT,Algorithm Developer,180000,USD,180000,US,0,US,M
2025,MI,FT,Software Engineer,237500,USD,237500,US,0,US,M
2025,MI,FT,Associate,146955,USD,146955,US,100,US,M
2025,MI,FT,Engineer,96013,USD,96013,US,100,US,M
2024,EN,FT,Machine Learning Engineer,177000,USD,177000,US,0,US,M
2024,MI,FT,Engineer,96800,USD,96800,US,100,US,M
2024,MI,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M
2025,EN,FT,Data Analyst,17712,EUR,18644,FR,0,FR,M
2024,MI,FT,Engineering Manager,230000,USD,230000,US,0,US,M
2025,MI,FT,Associate,150000,USD,150000,US,0,US,M
2024,MI,FT,Data Engineer,105000,GBP,131250,GB,0,GB,M
2024,MI,FT,Data Engineer,149300,USD,149300,US,0,US,M
2024,EN,FT,Engineer,95680,USD,95680,US,0,US,L
2025,MI,FT,Associate,85000,USD,85000,US,0,US,M
2023,MI,FT,Data Analyst,134000,USD,134000,US,100,US,M
2024,MI,FT,Research Scientist,136000,USD,136000,US,0,US,M
2024,MI,FT,Software Engineer,190000,USD,190000,US,0,US,M
2024,MI,FT,Data Analyst,205700,USD,205700,US,0,US,M
2024,MI,FT,Software Engineer,208800,USD,208800,US,0,US,M
2024,EN,FT,Developer,150400,USD,150400,US,0,US,M
2024,EN,CT,Data Engineer,80000,USD,80000,US,0,US,M
2024,MI,FT,Research Scientist,146994,USD,146994,US,0,US,M
2024,MI,FT,Data Engineer,199600,USD,199600,US,0,US,M
2025,MI,FT,Engineer,313000,USD,313000,US,0,US,M
2025,MI,FT,Cloud Engineer,74600,USD,74600,US,0,US,M
2024,EN,FT,Software Engineer,173301,USD,173301,US,0,US,M
2023,EN,FT,Business Intelligence Data Analyst,99000,USD,99000,US,100,US,L
2024,EN,FT,Analyst,65000,USD,65000,US,0,US,M
2024,MI,FT,BI Developer,59469,USD,59469,US,100,US,M
2024,EN,FT,Research Engineer,176239,USD,176239,US,0,US,M
2024,MI,FT,Product Manager,338000,USD,338000,US,0,US,M
2024,MI,FT,Associate,115000,USD,115000,US,0,US,M
2025,MI,FT,Data Analyst,137000,USD,137000,US,0,US,M
2024,MI,FT,Engineer,279000,USD,279000,US,0,US,M
2024,MI,FT,Data Scientist,205500,USD,205500,US,0,US,M
2024,MI,FT,Data Scientist,207000,USD,207000,US,100,US,M
2025,MI,FT,Consultant,90000,USD,90000,US,0,US,M
2025,MI,FT,Engineer,169000,USD,169000,US,0,US,M
2024,MI,FT,Data Engineer,103500,USD,103500,US,100,US,M
2024,EN,FT,Data Analyst,140000,USD,140000,US,0,US,M
2025,MI,FT,Engineer,229000,USD,229000,US,0,US,M
2024,MI,FT,Engineer,71727,USD,71727,US,0,US,M
2025,EN,FT,Data Analyst,65000,USD,65000,US,0,US,M
2025,MI,CT,Analyst,73000,USD,73000,CA,0,CA,M
2025,MI,FT,Engineer,280000,USD,280000,US,0,US,M
2024,MI,FT,Data Product Manager,145000,USD,145000,US,100,US,M
2024,EN,FT,Data Analyst,145000,USD,145000,US,0,US,M
2025,MI,FT,Engineer,75000,USD,75000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,180000,USD,180000,US,0,US,M
2025,MI,FT,Product Manager,81100,USD,81100,US,0,US,M
2025,EN,FT,Software Engineer,196000,USD,196000,US,0,US,M
2023,MI,FT,Data Analyst,90000,GBP,110736,GB,0,GB,M
2024,MI,FT,Data Scientist,124800,USD,124800,US,0,US,M
2024,EN,FT,Analyst,64000,USD,64000,US,0,US,M
2024,MI,FT,Research Scientist,208000,USD,208000,US,0,US,M
2024,MI,FT,Data Scientist,142000,USD,142000,US,100,US,M
2024,MI,FT,Data Engineer,135000,USD,135000,US,0,US,M
2024,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M
2025,MI,FT,Analytics Engineer,85000,CAD,60714,CA,0,CA,M
2024,EN,FT,Data Analyst,52000,GBP,65000,GB,0,GB,M
2024,MI,FT,Data Engineer,65300,USD,65300,CA,0,CA,M
2024,MI,FT,Machine Learning Engineer,126000,USD,126000,US,0,US,M
2024,MI,FT,Research Scientist,212800,USD,212800,US,0,US,L
2025,MI,FT,AI Engineer,150000,USD,150000,US,0,US,M
2024,MI,FT,Software Development Engineer,93600,USD,93600,US,0,US,M
2024,MI,FT,Data Analyst,120000,USD,120000,US,100,US,M
2024,MI,FT,Software Engineer,128300,USD,128300,US,0,US,M
2024,MI,FT,Machine Learning Engineer,256500,USD,256500,US,0,US,M
2023,EN,FT,Data Scientist,156450,USD,156450,US,0,US,M
2024,MI,FT,Data Analyst,177777,USD,177777,US,0,US,M
2024,EN,FT,Engineer,62000,USD,62000,CA,0,CA,M
2025,MI,FT,Software Engineer,251000,USD,251000,US,0,US,M
2024,EN,FT,Data Analyst,93000,USD,93000,US,0,US,M
2025,MI,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2025,MI,FT,Data Scientist,173040,USD,173040,US,0,US,M
2025,EN,FT,Data Analyst,103646,USD,103646,US,0,US,M
2024,EN,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,MI,FT,Data Visualization Engineer,65000,USD,65000,US,100,US,M
2024,MI,FT,Site Reliability Engineer,266000,USD,266000,US,0,US,M
2025,MI,FT,Data Scientist,189600,USD,189600,US,100,US,M
2024,MI,FT,Engineer,166600,USD,166600,US,0,US,M
2023,MI,FT,Data Analyst,149000,USD,149000,US,0,US,M
2024,MI,FT,Data Scientist,287800,USD,287800,US,0,US,M
2025,MI,FT,Systems Engineer,211000,USD,211000,US,0,US,M
2024,MI,FT,Data Developer,120000,USD,120000,US,0,US,M
2023,MI,FT,Data Operations Analyst,65100,USD,65100,US,100,US,M
2025,MI,FT,Data Engineer,118900,USD,118900,US,0,US,L
2024,MI,FT,Associate,136800,USD,136800,US,0,US,M
2024,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M
2024,EN,FT,Data Analyst,18000,USD,18000,CL,100,CL,M
2024,MI,FT,Manager,91800,USD,91800,US,0,US,M
2024,MI,FT,Data Scientist,172000,USD,172000,US,0,US,M
2024,MI,FT,Data Scientist,329333,USD,329333,US,0,US,M
2025,MI,FT,Engineer,252000,USD,252000,US,0,US,M
2024,EN,FT,Data Analyst,71800,USD,71800,US,0,US,M
2024,MI,FT,Data Specialist,54000,USD,54000,US,0,US,M
2024,MI,FT,Research Scientist,157900,USD,157900,US,0,US,M
2025,EN,FT,Analyst,93000,CAD,66428,CA,0,CA,M
2025,MI,FT,Software Engineer,155000,USD,155000,US,0,US,M
2024,MI,FT,Analytics Engineer,90000,USD,90000,CA,100,CA,M
2024,MI,FT,Data Scientist,105500,USD,105500,US,100,US,M
2024,MI,FT,Data Product Manager,60000,GBP,75000,US,0,US,M
2024,MI,FT,Software Engineer,172000,USD,172000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,240000,USD,240000,US,0,US,M
2025,MI,FT,Engineer,150000,USD,150000,US,0,US,M
2025,MI,FT,Software Engineer,71000,EUR,74736,ES,100,ES,M
2024,MI,FT,Decision Scientist,123000,USD,123000,US,0,US,M
2024,MI,FT,Data Engineer,150280,USD,150280,US,0,US,M
2023,MI,FT,BI Analyst,110000,USD,110000,US,0,US,M
2025,MI,FT,Data Scientist,90300,USD,90300,US,0,US,M
2025,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
2024,MI,FT,Data Scientist,159865,USD,159865,US,100,US,M
2025,EN,FT,Software Development Engineer,94100,USD,94100,US,0,US,M
2024,MI,FT,Data Engineer,132000,USD,132000,US,100,US,M
2025,EN,FT,Data Analyst,95000,USD,95000,US,100,US,M
2025,EN,FT,Data Analyst,78000,CAD,55714,CA,0,CA,M
2025,MI,FT,Data Engineer,151440,USD,151440,US,0,US,M
2024,MI,FT,Systems Engineer,215000,USD,215000,US,0,US,M
2024,MI,FT,Data Scientist,75000,USD,75000,US,0,US,M
2024,MI,FT,Data Scientist,88566,USD,88566,CA,0,CA,M
2022,MI,FT,Machine Learning Engineer,95000,GBP,116976,GB,0,GB,M
2024,EN,FT,Data Analyst,65000,USD,65000,US,0,US,M
2024,MI,FT,Data Scientist,96600,USD,96600,US,0,US,M
2024,MI,FT,Software Engineer,208800,USD,208800,US,0,US,M
2025,MI,FT,Software Engineer,60000,GBP,75949,GB,0,GB,M
2024,MI,FT,Manager,196225,USD,196225,US,0,US,M
2024,MI,FT,Data Engineer,143500,USD,143500,US,100,US,M
2025,MI,FT,Software Developer,96400,USD,96400,US,0,US,M
2024,MI,FT,Data Specialist,68850,USD,68850,US,0,US,M
2025,MI,FT,Research Scientist,177000,USD,177000,US,0,US,M
2025,MI,FT,Data Scientist,75600,USD,75600,US,0,US,M
2025,MI,FT,Engineer,136300,USD,136300,US,0,US,M
2025,MI,FT,Data Scientist,132849,USD,132849,US,0,US,M
2022,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
2024,EN,FT,Business Intelligence Analyst,69000,USD,69000,US,0,US,M
2024,MI,FT,Data Scientist,128000,USD,128000,US,0,US,M
2025,MI,FT,Consultant,98300,USD,98300,US,0,US,M
2024,MI,FT,Data Engineer,69858,USD,69858,US,100,US,M
2024,MI,FT,Data Engineer,125680,USD,125680,US,0,US,M
2024,EN,FT,Data Analyst,201100,USD,201100,US,0,US,L
2024,MI,FT,Machine Learning Engineer,240000,USD,240000,US,0,US,M
2025,EN,FT,Consultant,83000,USD,83000,US,0,US,M
2024,MI,FT,Research Engineer,425000,USD,425000,US,0,US,M
2024,MI,FT,Data Engineer,237500,USD,237500,US,0,US,M
2025,MI,FT,Engineer,146000,USD,146000,US,0,US,M
2025,EN,FT,Data Analyst,56040,USD,56040,US,0,US,M
2024,MI,FT,Data Engineer,60400,USD,60400,US,0,US,M
2025,MI,FT,Data Scientist,154100,USD,154100,US,0,US,M
2024,EN,FT,Data Analyst,54600,USD,54600,US,0,US,M
2024,MI,FT,AI Engineer,156100,USD,156100,US,100,US,M
2025,MI,FT,Manager,122500,USD,122500,US,0,US,M
2024,MI,FT,Data Integration Specialist,90459,USD,90459,US,100,US,M
2025,MI,FT,AI Engineer,150000,USD,150000,CA,0,CA,M
2024,EN,FT,Data Engineer,70824,USD,70824,US,0,US,M
2023,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
2023,MI,FT,Data Scientist,142200,USD,142200,US,0,US,M
2025,MI,FT,Data Manager,155000,USD,155000,US,0,US,M
2024,MI,FT,Data Scientist,196900,USD,196900,US,0,US,M
2025,MI,FT,Analytics Engineer,146000,USD,146000,US,0,US,M
2024,MI,FT,Data Scientist,196900,USD,196900,US,0,US,M
2023,MI,FT,Data Strategist,65000,USD,65000,US,0,US,M
2024,MI,FT,Data Scientist,119800,USD,119800,US,100,US,M
2024,MI,FT,Manager,234240,USD,234240,US,0,US,M
2025,MI,FT,Data Infrastructure Engineer,130000,USD,130000,US,100,US,M
2024,EN,FT,Developer,32000,USD,32000,US,0,US,M
2024,MI,FT,Software Engineer,232000,USD,232000,US,0,US,M
2025,MI,FT,Head of Data,185000,USD,185000,US,0,US,M
2024,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
2024,EN,FT,Data Scientist,172000,USD,172000,US,0,US,M
2023,MI,FT,Data Scientist,105000,USD,105000,US,0,US,M
2024,MI,FT,Data Scientist,131200,USD,131200,US,0,US,M
2024,MI,FT,Data Scientist,138900,USD,138900,US,0,US,M
2024,EN,FT,Data Analyst,120012,USD,120012,US,0,US,M
2025,EN,FT,Data Analyst,110000,USD,110000,US,0,US,M
2024,EN,CT,Software Engineer,18000,USD,18000,MX,100,MX,M
2025,MI,FT,Consultant,54000,USD,54000,US,0,US,M
2024,MI,FT,Software Engineer,117600,USD,117600,US,0,US,M
2025,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M
2024,MI,FT,Data Engineer,104668,USD,104668,AU,0,AU,M
2024,MI,FT,Business Intelligence Engineer,172000,USD,172000,US,0,US,M
2024,EN,FT,Software Engineer,144000,USD,144000,US,0,US,M
2024,MI,FT,Manager,145860,USD,145860,US,0,US,M
2024,EN,FT,Data Analyst,80000,USD,80000,US,0,US,M
2024,MI,FT,Engineer,114400,USD,114400,US,0,US,M
2024,MI,FT,Manager,150000,USD,150000,US,0,US,M
2024,EN,FT,Research Analyst,101846,USD,101846,US,0,US,M
2025,EN,FT,AI Scientist,146325,USD,146325,US,0,US,M
2025,MI,FT,Software Development Engineer,108000,USD,108000,US,0,US,M
2025,EN,FT,Data Analyst,35317,USD,35317,US,0,US,M
2024,EN,FT,Data Quality Analyst,77000,USD,77000,US,0,US,M
2025,MI,FT,Engineer,235000,USD,235000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,205000,USD,205000,CA,0,CA,M
2024,MI,FT,Data Scientist,172000,USD,172000,US,0,US,M
2024,MI,FT,Manager,155000,USD,155000,US,0,US,M
2024,MI,FT,Software Engineer,297000,USD,297000,US,0,US,M
2024,MI,FT,Data Engineer,165000,USD,165000,US,100,US,M
2024,MI,FT,Research Scientist,112000,USD,112000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,133903,USD,133903,US,100,US,M
2025,MI,FT,Associate,70000,USD,70000,US,100,US,L
2024,MI,FT,Data Scientist,212800,USD,212800,US,0,US,L
2024,MI,FT,Business Intelligence,150000,USD,150000,US,0,US,M
2025,MI,FT,Data Operations Manager,365000,USD,365000,US,0,US,M
2025,MI,FT,Data Engineer,68600,USD,68600,US,100,US,M
2025,MI,FT,Analytics Engineer,150000,USD,150000,US,100,US,M
2024,MI,FT,Machine Learning Engineer,93000,USD,93000,US,0,US,M
2025,MI,FT,Analyst,120000,USD,120000,US,0,US,M
2024,EN,FT,Engineer,37000,USD,37000,US,0,US,M
2024,MI,FT,Software Engineer,130900,USD,130900,US,0,US,M
2025,MI,FT,Analyst,60000,USD,60000,US,100,US,M
2024,EN,FT,Data Scientist,55000,EUR,61111,DE,50,DE,M
2024,MI,FT,Data Scientist,24950,GBP,31187,GB,0,GB,M
2025,MI,FT,Data Scientist,47676,EUR,50185,NL,0,NL,M
2024,MI,FT,Product Manager,264000,USD,264000,US,0,US,M
2024,MI,FT,Product Manager,120000,USD,120000,US,0,US,M
2024,EN,FT,Data Analyst,131300,USD,131300,US,0,US,M
2024,MI,FT,Machine Learning Engineer,160000,USD,160000,US,0,US,M
2024,MI,FT,Software Engineer,159600,USD,159600,CA,0,CA,M
2025,MI,FT,Product Manager,156000,USD,156000,US,0,US,M
2024,MI,FT,Software Engineer,98300,USD,98300,US,0,US,M
2023,MI,FT,Data Engineer,99000,USD,99000,US,0,US,M
2025,MI,FT,Analyst,97900,USD,97900,US,0,US,M
2024,MI,FT,Data Scientist,130425,USD,130425,US,0,US,M
2025,MI,FT,Manager,106300,USD,106300,US,0,US,M
2024,EN,FT,Data Analyst,46000,USD,46000,US,0,US,M
2024,MI,FT,Data Scientist,170000,USD,170000,US,0,US,M
2024,MI,FT,Data Engineer,120000,USD,120000,US,0,US,M
2024,EN,FT,Data Analyst,24327,GBP,30408,GB,0,GB,M
2024,EN,FT,Research Analyst,152000,USD,152000,US,0,US,M
2023,MI,FT,Data Engineer,140000,USD,140000,US,0,US,M
2024,MI,FT,Data Scientist,127000,USD,127000,US,0,US,M
2024,EN,FT,Data Operations Analyst,100000,USD,100000,US,100,US,M
2024,MI,FT,Data Analyst,107349,USD,107349,AU,0,AU,M
2024,MI,FT,Site Reliability Engineer,266000,USD,266000,US,0,US,M
2025,MI,FT,Python Developer,100000,USD,100000,US,0,US,M
2024,MI,FT,Data Scientist,228000,USD,228000,US,0,US,M
2024,MI,FT,Engineer,143100,USD,143100,US,0,US,M
2025,MI,FT,Data Scientist,172000,USD,172000,US,0,US,M
2022,MI,FT,Data Scientist,85000,EUR,89306,NL,0,NL,M
2024,MI,FT,Business Intelligence Engineer,130000,USD,130000,US,100,US,M
2024,MI,FT,Software Engineer,145000,USD,145000,US,0,US,M
2025,EN,FT,Data Management Analyst,112000,USD,112000,US,0,US,M
2025,EN,FT,Research Scientist,168100,USD,168100,US,100,US,M
2024,MI,FT,Engineer,100000,USD,100000,US,100,US,M
2024,MI,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2025,EN,FT,Data Analyst,20000,GBP,25316,GB,0,GB,M
2024,MI,FT,Data Engineer,180000,USD,180000,US,100,US,M
2025,EN,FT,Data Analyst,125000,USD,125000,US,0,US,M
2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L
2024,MI,FT,Software Engineer,175000,USD,175000,US,0,US,M
2024,MI,FT,Associate,80000,USD,80000,US,0,US,M
2025,MI,FT,Data Scientist,175900,USD,175900,US,0,US,M
2024,EN,FT,Data Scientist,98300,USD,98300,US,0,US,M
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M
2023,EN,FT,Business Intelligence Analyst,96412,USD,96412,US,0,US,M
2025,MI,FT,Software Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Data Engineer,50000,GBP,61520,GB,100,GB,M
2024,EN,FT,Analyst,70000,USD,70000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,180000,USD,180000,CA,0,CA,M
2025,EN,FT,Analyst,80000,USD,80000,US,0,US,M
2024,EN,FT,Data Analyst,64500,USD,64500,US,0,US,M
2025,EN,FT,Data Operations Analyst,85000,USD,85000,US,0,US,M
2025,MI,FT,Product Manager,375000,USD,375000,US,0,US,M
2025,MI,FT,Manager,286300,USD,286300,US,0,US,M
2023,MI,FT,Insight Analyst,42000,GBP,51676,GB,0,GB,M
2024,MI,FT,Research Scientist,136000,USD,136000,US,0,US,L
2024,MI,FT,Data Scientist,87120,USD,87120,US,100,US,M
2024,MI,FT,Data Engineer,196900,USD,196900,US,0,US,M
2024,MI,FT,Data Scientist,136000,USD,136000,US,0,US,M
2024,MI,FT,Data Analyst,143100,USD,143100,US,0,US,L
2024,MI,FT,Data Analyst,101000,USD,101000,US,100,US,M
2024,EN,FT,Engineer,192300,USD,192300,US,0,US,L
2024,MI,FT,Business Intelligence Developer,97000,USD,97000,US,0,US,M
2023,MI,FT,Analytics Engineer,190000,USD,190000,CA,100,CA,M
2024,EN,FT,Data Analyst,130000,USD,130000,US,0,US,M
2025,MI,FT,Data Engineer,75000,USD,75000,US,0,US,M
2024,MI,FT,Data Engineer,102500,USD,102500,US,0,US,M
2024,MI,FT,Product Manager,207800,USD,207800,US,0,US,M
2024,EN,FT,Research Engineer,118800,USD,118800,US,0,US,M
2023,MI,FT,Data Scientist,45000,EUR,48585,ES,0,ES,M
2024,EN,FT,Product Analyst,156000,USD,156000,US,0,US,M
2025,MI,FT,Engineer,166000,USD,166000,US,0,US,M
2024,EN,FT,Data Analyst,75600,USD,75600,AU,0,AU,M
2024,MI,FT,Data Specialist,60400,USD,60400,US,0,US,M
2024,MI,FT,Data Engineer,45000,GBP,56250,GB,0,GB,M
2024,MI,FT,Data Scientist,44322,GBP,55402,GB,0,GB,M
2024,MI,FT,Software Engineer,54000,USD,54000,US,100,US,M
2024,MI,FT,Manager,60300,USD,60300,US,0,US,M
2022,EN,FT,Data Scientist,50000,USD,50000,US,50,DE,M
2024,MI,FT,Manager,81500,USD,81500,US,0,US,M
2025,MI,FT,Software Engineer,207000,USD,207000,US,0,US,M
2025,MI,FT,Manager,220000,USD,220000,US,0,US,M
2024,MI,FT,Research Scientist,251000,USD,251000,US,0,US,M
2025,MI,FT,Data Engineer,91789,USD,91789,CA,0,CA,M
2024,MI,FT,Data Analyst,113000,USD,113000,US,0,US,M
2024,MI,FT,Manager,75100,USD,75100,US,0,US,M
2024,EN,PT,Data Analyst,68000,USD,68000,US,100,US,M
2025,MI,FT,Associate,116200,USD,116200,US,0,US,M
2025,EN,FT,Engineer,142000,USD,142000,US,0,US,M
2024,MI,FT,Data Engineer,106300,USD,106300,US,0,US,M
2024,MI,FT,Data Engineer,154500,USD,154500,US,0,US,M
2024,MI,FT,Software Engineer,154000,USD,154000,US,0,US,M
2025,MI,FT,Machine Learning Engineer,120700,USD,120700,US,0,US,M
2024,EN,FT,Research Scientist,194750,USD,194750,US,0,US,M
2025,MI,FT,Engineer,252000,USD,252000,US,0,US,M
2025,MI,FT,Associate,140000,USD,140000,US,0,US,M
2025,MI,FT,Research Engineer,165000,USD,165000,US,0,US,M
2025,MI,CT,Engineer,100000,USD,100000,US,100,US,M
2024,MI,FT,Software Engineer,125000,USD,125000,US,0,US,M
2024,MI,FT,Engineer,300000,USD,300000,US,0,US,M
2024,MI,FT,Data Engineer,95722,USD,95722,US,0,US,M
2024,EN,FT,Data Scientist,137000,USD,137000,US,0,US,M
2024,MI,FT,Engineer,160000,USD,160000,US,0,US,M
2024,MI,FT,Business Intelligence Engineer,76000,USD,76000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
2024,EN,FT,Machine Learning Engineer,129200,USD,129200,US,0,US,M
2025,MI,FT,Software Engineer,79000,USD,79000,US,100,US,M
2025,MI,FT,Machine Learning Engineer,143100,USD,143100,US,0,US,M
2024,EN,PT,Business Intelligence Engineer,151260,USD,151260,US,0,US,L
2025,EN,FT,Analyst,70000,USD,70000,US,0,US,M
2024,MI,FT,Data Scientist,178250,USD,178250,US,0,US,M
2025,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
2024,MI,FT,Associate,92000,USD,92000,CA,0,CA,M
